"Industrial Production, Original and Seasonally Adjusted by Country and Month"

"Country","Month","Industrial Production index, original, 2010=100"
"Armenia","2019M10",178.9
"Armenia","2019M11",191.2
"Armenia","2019M12",219.4
"Armenia","2020M01",126.6
"Armenia","2020M02",138.8
"Armenia","2020M03",136.1
"Armenia","2020M04",123.6
"Armenia","2020M05",138.2
"Armenia","2020M06",147.0
"Armenia","2020M07",149.0
"Armenia","2020M08",161.5
"Armenia","2020M09",175.1
"Armenia","2020M10",180.7
"Armenia","2020M11",187.9
"Armenia","2020M12",195.4
"Armenia","2021M01",111.6
"Armenia","2021M02",128.7
"Armenia","2021M03",140.4
"Armenia","2021M04",143.3
"Armenia","2021M05",148.2
"Armenia","2021M06",146.9
"Armenia","2021M07",146.9
"Armenia","2021M08",147.8
"Armenia","2021M09",156.5
"Armenia","2021M10",171.5
"Armenia","2021M11",195.2
"Armenia","2021M12",208.4
"Armenia","2022M01",129.6
"Armenia","2022M02",131.5
"Armenia","2022M03",129.8
"Armenia","2022M04",144.9
"Armenia","2022M05",149.6
"Armenia","2022M06",175.1
"Armenia","2022M07",169.5
"Armenia","2022M08",187.3
"Armenia","2022M09",184.2
"Armenia","2022M10",193.7
"Armenia","2022M11",197.2
"Armenia","2022M12",225.0
"Armenia","2023M01",130.7
"Armenia","2023M02",133.8
"Armenia","2023M03",141.8
"Armenia","2023M04",144.0
"Armenia","2023M05",158.3
"Armenia","2023M06",162.7
"Armenia","2023M07",164.8
"Armenia","2023M08",178.2
"Armenia","2023M09",175.5
"Armenia","2023M10",194.7
"Armenia","2023M11",246.8
"Armenia","2023M12",275.5
"Armenia","2024M01",156.7
"Armenia","2024M02",186.4
"Armenia","2024M03",186.7
"Armenia","2024M04",162.3
"Armenia","2024M05",162.0
"Armenia","2024M06",158.1
"Armenia","2024M07",161.2
"Armenia","2024M08",173.3
"Armenia","2024M09",176.1
"Armenia","2024M10",195.3
"Armenia","2024M11",194.3
"Armenia","2024M12",228.7
"Austria","2000M01",62.3
"Austria","2000M02",72.4
"Austria","2000M03",82.7
"Austria","2000M04",72.2
"Austria","2000M05",82.9
"Austria","2000M06",76.3
"Austria","2000M07",75.2
"Austria","2000M08",70.2
"Austria","2000M09",83.6
"Austria","2000M10",83.3
"Austria","2000M11",87.9
"Austria","2000M12",80.8
"Austria","2001M01",74.2
"Austria","2001M02",75.9
"Austria","2001M03",86.3
"Austria","2001M04",78.0
"Austria","2001M05",81.9
"Austria","2001M06",78.5
"Austria","2001M07",80.1
"Austria","2001M08",71.8
"Austria","2001M09",82.0
"Austria","2001M10",88.7
"Austria","2001M11",84.9
"Austria","2001M12",76.6
"Austria","2002M01",73.8
"Austria","2002M02",74.8
"Austria","2002M03",81.6
"Austria","2002M04",82.7
"Austria","2002M05",78.5
"Austria","2002M06",83.8
"Austria","2002M07",83.8
"Austria","2002M08",68.2
"Austria","2002M09",85.8
"Austria","2002M10",91.2
"Austria","2002M11",84.5
"Austria","2002M12",79.3
"Austria","2003M01",75.0
"Austria","2003M02",76.6
"Austria","2003M03",85.3
"Austria","2003M04",83.5
"Austria","2003M05",79.9
"Austria","2003M06",81.0
"Austria","2003M07",85.0
"Austria","2003M08",69.6
"Austria","2003M09",89.3
"Austria","2003M10",92.8
"Austria","2003M11",86.2
"Austria","2003M12",81.5
"Austria","2004M01",73.4
"Austria","2004M02",79.0
"Austria","2004M03",94.2
"Austria","2004M04",87.0
"Austria","2004M05",83.3
"Austria","2004M06",92.1
"Austria","2004M07",88.3
"Austria","2004M08",79.9
"Austria","2004M09",96.9
"Austria","2004M10",91.9
"Austria","2004M11",97.0
"Austria","2004M12",91.8
"Austria","2005M01",75.9
"Austria","2005M02",82.3
"Austria","2005M03",95.5
"Austria","2005M04",90.5
"Austria","2005M05",86.6
"Austria","2005M06",99.1
"Austria","2005M07",89.6
"Austria","2005M08",82.0
"Austria","2005M09",99.9
"Austria","2005M10",96.1
"Austria","2005M11",103.4
"Austria","2005M12",96.4
"Austria","2006M01",84.8
"Austria","2006M02",89.1
"Austria","2006M03",106.0
"Austria","2006M04",90.1
"Austria","2006M05",99.0
"Austria","2006M06",99.9
"Austria","2006M07",97.0
"Austria","2006M08",89.6
"Austria","2006M09",104.2
"Austria","2006M10",106.4
"Austria","2006M11",110.3
"Austria","2006M12",99.8
"Austria","2007M01",93.8
"Austria","2007M02",96.1
"Austria","2007M03",111.8
"Austria","2007M04",99.2
"Austria","2007M05",103.2
"Austria","2007M06",105.0
"Austria","2007M07",104.6
"Austria","2007M08",95.2
"Austria","2007M09",106.3
"Austria","2007M10",114.9
"Austria","2007M11",111.9
