"Exchange Rate (XR) by Country, Indicator and Month"

"Country","Month","Exchange Rate, NCU per Euro"
"Andorra","2016M09",1.0000
"Andorra","2016M10",1.0000
"Andorra","2016M11",1.0000
"Andorra","2016M12",1.0000
"Andorra","2017M01",1.0000
"Andorra","2017M02",1.0000
"Andorra","2017M03",1.0000
"Andorra","2017M04",1.0000
"Andorra","2017M05",1.0000
"Andorra","2017M06",1.0000
"Andorra","2017M07",1.0000
"Andorra","2017M08",1.0000
"Andorra","2017M09",1.0000
"Andorra","2017M10",1.0000
"Andorra","2017M11",1.0000
"Andorra","2017M12",1.0000
"Andorra","2018M01",1.0000
"Andorra","2018M02",1.0000
"Andorra","2018M03",1.0000
"Andorra","2018M04",1.0000
"Andorra","2018M05",1.0000
"Andorra","2018M06",1.0000
"Andorra","2018M07",1.0000
"Andorra","2018M08",1.0000
"Andorra","2018M09",1.0000
"Andorra","2018M10",1.0000
"Andorra","2018M11",1.0000
"Andorra","2018M12",1.0000
"Andorra","2019M01",1.0000
"Andorra","2019M02",1.0000
"Andorra","2019M03",1.0000
"Andorra","2019M04",1.0000
"Andorra","2019M05",1.0000
"Andorra","2019M06",1.0000
"Andorra","2019M07",1.0000
"Andorra","2019M08",1.0000
"Andorra","2019M09",1.0000
"Andorra","2019M10",1.0000
"Andorra","2019M11",1.0000
"Andorra","2019M12",1.0000
"Andorra","2020M01",1.0000
"Andorra","2020M02",1.0000
"Andorra","2020M03",1.0000
"Andorra","2020M04",1.0000
"Andorra","2020M05",1.0000
"Andorra","2020M06",1.0000
"Andorra","2020M07",1.0000
"Andorra","2020M08",1.0000
"Andorra","2020M09",1.0000
"Andorra","2020M10",1.0000
"Andorra","2020M11",1.0000
"Andorra","2020M12",1.0000
"Andorra","2021M01",1.0000
"Andorra","2021M02",1.0000
"Andorra","2021M03",1.0000
"Andorra","2021M04",1.0000
"Andorra","2021M05",1.0000
"Andorra","2021M06",1.0000
"Andorra","2021M07",1.0000
"Andorra","2021M08",1.0000
"Andorra","2021M09",1.0000
"Andorra","2021M10",1.0000
"Andorra","2021M11",1.0000
"Andorra","2021M12",1.0000
"Andorra","2022M01",1.0000
"Andorra","2022M02",1.0000
"Andorra","2022M03",1.0000
"Andorra","2022M04",1.0000
"Andorra","2022M05",1.0000
"Andorra","2022M06",1.0000
"Andorra","2022M07",1.0000
"Andorra","2022M08",1.0000
"Andorra","2022M09",1.0000
"Andorra","2022M10",1.0000
"Andorra","2022M11",1.0000
"Andorra","2022M12",1.0000
"Andorra","2023M01",1.0000
"Andorra","2023M02",1.0000
"Andorra","2023M03",1.0000
"Andorra","2023M04",1.0000
"Andorra","2023M05",1.0000
"Andorra","2023M06",1.0000
"Andorra","2023M07",1.0000
"Andorra","2023M08",1.0000
"Andorra","2023M09",1.0000
"Andorra","2023M10",1.0000
"Andorra","2023M11",1.0000
"Andorra","2023M12",1.0000
"Andorra","2024M01",1.0000
"Andorra","2024M02",1.0000
"Andorra","2024M03",1.0000
"Andorra","2024M04",1.0000
"Andorra","2024M05",1.0000
"Andorra","2024M06",1.0000
"Andorra","2024M07",1.0000
"Andorra","2024M08",1.0000
"Andorra","2024M09",1.0000
"Andorra","2024M10",1.0000
"Andorra","2024M11",1.0000
"Andorra","2024M12",1.0000
"Armenia","2000M01",534.2321
"Armenia","2000M02",519.1268
"Armenia","2000M03",508.6500
"Armenia","2000M04",502.7273
"Armenia","2000M05",483.9101
"Armenia","2000M06",516.0418
"Armenia","2000M07",515.0254
"Armenia","2000M08",488.6448
"Armenia","2000M09",470.7745
"Armenia","2000M10",466.0253
"Armenia","2000M11",475.6872
"Armenia","2000M12",497.5323
"Armenia","2001M01",519.2625
"Armenia","2001M02",508.9409
"Armenia","2001M03",496.5621
"Armenia","2001M04",488.6362
"Armenia","2001M05",484.0647
"Armenia","2001M06",473.6055
"Armenia","2001M07",476.8483
"Armenia","2001M08",499.3967
"Armenia","2001M09",504.8014
"Armenia","2001M10",508.0033
"Armenia","2001M11",501.6090
"Armenia","2001M12",503.7926
"Armenia","2002M01",498.2599
"Armenia","2002M02",491.8044
"Armenia","2002M03",501.0510
"Armenia","2002M04",512.2774
"Armenia","2002M05",532.6089
"Armenia","2002M06",554.8156
"Armenia","2002M07",561.2561
"Armenia","2002M08",546.0643
"Armenia","2002M09",553.6191
"Armenia","2002M10",570.4994
"Armenia","2002M11",585.0891
"Armenia","2002M12",595.2449
"Armenia","2003M01",619.2565
"Armenia","2003M02",631.6086
"Armenia","2003M03",637.9944
"Armenia","2003M04",637.9325
"Armenia","2003M05",678.6657
"Armenia","2003M06",682.5286
"Armenia","2003M07",659.0289
"Armenia","2003M08",643.9519
"Armenia","2003M09",645.0118
"Armenia","2003M10",659.2541
"Armenia","2003M11",660.6052
"Armenia","2003M12",694.4226
"Armenia","2004M01",717.0030
"Armenia","2004M02",713.7347
"Armenia","2004M03",690.1545
"Armenia","2004M04",667.4578
"Armenia","2004M05",663.6167
"Armenia","2004M06",660.2292
"Armenia","2004M07",645.0855
"Armenia","2004M08",630.2569
"Armenia","2004M09",627.2327
"Armenia","2004M10",632.4312
"Armenia","2004M11",653.1199
"Armenia","2004M12",651.9991
"Armenia","2005M01",645.0779
"Armenia","2005M02",616.0780
"Armenia","2005M03",615.1966
"Armenia","2005M04",579.4922
"Armenia","2005M05",570.2553
"Armenia","2005M06",546.1658
"Armenia","2005M07",532.7814
"Armenia","2005M08",566.6739
"Armenia","2005M09",556.9515
"Armenia","2005M10",539.9562
"Armenia","2005M11",540.0905
"Armenia","2005M12",532.7975
"Armenia","2006M01",546.7714
"Armenia","2006M02",537.3806
"Armenia","2006M03",542.1304
"Armenia","2006M04",552.1970
"Armenia","2006M05",561.5271
"Armenia","2006M06",532.1074
"Armenia","2006M07",529.4305
"Armenia","2006M08",514.8191
"Armenia","2006M09",493.6903
"Armenia","2006M10",480.8512
"Armenia","2006M11",484.5607
"Armenia","2006M12",481.8218
"Armenia","2007M01",472.7850
"Armenia","2007M02",465.3909
"Armenia","2007M03",474.8827
"Armenia","2007M04",491.0556
"Armenia","2007M05",477.9969
"Armenia","2007M06",462.6989
"Armenia","2007M07",464.0616
"Armenia","2007M08",458.9903
"Armenia","2007M09",469.9819
"Armenia","2007M10",469.8831
"Armenia","2007M11",465.2749
"Armenia","2007M12",443.1039
"Armenia","2008M01",451.6250
"Armenia","2008M02",455.3364
"Armenia","2008M03",479.1386
"Armenia","2008M04",486.7524
"Armenia","2008M05",478.1534
"Armenia","2008M06",474.2238
"Armenia","2008M07",476.9005
"Armenia","2008M08",452.1700
"Armenia","2008M09",434.7646
"Armenia","2008M10",407.9241
"Armenia","2008M11",388.6098
"Armenia","2008M12",414.0272
"Armenia","2009M01",404.4163
"Armenia","2009M02",390.5236
"Armenia","2009M03",477.2348
